tipo_cultivo	ubicacion_geografica	tamano_finca	rendimiento_cultivo	uso_fertilizantes	precio_venta(€/kg)
Tomates	La Rioja	15	97	si	97
Tomates	Cuenca	62	15	si	19
Tomates	Baleares	95	64	si	76
Tomates	Pontevedra	31	74	si	46
Tomates	Huelva	70	35	no	97
Tomates	Jaén	45	41	si	47
Tomates	Asturias	41	23	no	4
Tomates	Cáceres	19	89	no	30
Tomates	Zaragoza	60	31	no	97
Tomates	Guipúzcoa	5	90	no	95
Tomates	Jaén	79	31	no	56
Tomates	Santa Cruz de Tenerife	34	96	si	57
Tomates	Vizcaya	74	31	no	15
Tomates	Huelva	69	40	si	80
Tomates	Tarragona	1	86	no	24
Tomates	Guipúzcoa	73	8	no	50
Tomates	Guipúzcoa	3	53	si	82
Tomates	Girona	50	30	no	56
Tomates	Cáceres	40	96	no	91
Tomates	Zamora	64	51	si	7
Tomates	Santa Cruz de Tenerife	41	98	no	64
Tomates	Santa Cruz de Tenerife	72	70	no	43
Tomates	Teruel	13	82	no	20
Tomates	La Coruña	35	85	si	94
Tomates	Cuenca	56	98	no	31
Tomates	Cádiz	95	4	si	7
Tomates	Álava	80	84	no	15
Tomates	Asturias	25	82	no	2
Tomates	Girona	64	31	no	93
Tomates	Murcia	69	25	no	23
Tomates	Asturias	100	36	no	28
Tomates	Albacete	52	71	no	90
Tomates	Las Palmas	45	50	no	22
Tomates	Ciudad	52	83	no	49
Tomates	Baleares	62	56	no	59
Tomates	Toledo	89	60	si	56
Tomates	Guadalajara	73	65	si	92
Tomates	Baleares	79	97	si	64
Tomates	Barcelona	25	19	no	84
Tomates	Teruel	81	36	si	12
Tomates	La Rioja	91	18	no	8
Tomates	Baleares	11	4	no	41
Tomates	Álava	28	93	si	14
Tomates	Girona	77	33	si	61
Tomates	Las Palmas	67	47	si	87
Tomates	Las Palmas	12	10	si	77
Tomates	Baleares	52	33	si	29
Tomates	Burgos	87	72	si	2
Tomates	Alicante	93	98	si	46
Tomates	Ciudad	31	46	no	78
Tomates	Burgos	36	38	no	38
Tomates	La Coruña	17	21	no	80
Tomates	Ávila	33	45	si	60
Tomates	Ávila	51	87	si	97
Tomates	La Rioja	76	87	si	65
Tomates	Jaén	87	9	si	14
Tomates	Teruel	67	18	no	33
Tomates	Lleida	21	31	no	90
Tomates	Barcelona	45	12	no	8
Tomates	Málaga	65	75	si	79
Tomates	Cáceres	23	64	si	54
Tomates	Ceuta	51	15	no	34
Tomates	Zaragoza	81	98	no	60
Tomates	Toledo	9	52	si	33
Tomates	Melilla	59	76	no	49
Tomates	Cantabria	89	39	no	89
Tomates	Segovia	94	52	si	28
Tomates	La Coruña	35	96	si	94
Tomates	Alicante	87	40	no	51
Tomates	Huelva	42	2	no	25
Tomates	Badajoz	88	79	si	10
Tomates	Burgos	76	27	si	73
Tomates	Salamanca	37	31	no	82
Tomates	Navarra	79	73	no	35
Tomates	Huelva	47	80	si	53
Tomates	Valencia	41	1	si	78
Tomates	Badajoz	39	35	si	94
Tomates	Cantabria	76	100	si	96
Tomates	Burgos	80	19	no	15
Tomates	Lleida	46	33	no	91
Tomates	Granada	77	68	si	45
Tomates	Ciudad	29	59	si	69
Tomates	Asturias	74	64	si	67
Tomates	Ourense	18	92	no	93
Tomates	Murcia	45	3	si	72
Tomates	Albacete	19	64	no	78
Tomates	Cantabria	76	47	no	35
Tomates	Madrid	43	43	no	62
Tomates	Alicante	94	39	no	95
Tomates	Guadalajara	33	42	no	71
Tomates	Tarragona	23	49	no	55
Tomates	Salamanca	28	46	si	26
Tomates	Albacete	26	37	no	28
Tomates	Guipúzcoa	43	53	si	2
Tomates	Toledo	48	75	si	54
Tomates	Guipúzcoa	77	90	no	2
Tomates	Cádiz	18	49	si	48
Tomates	Girona	15	13	si	35
Tomates	Melilla	80	56	no	16
Tomates	Granada	86	47	si	47
Tomates	Valencia	51	27	no	21
Tomates	Burgos	88	51	no	33
Tomates	Alicante	93	52	si	8
Tomates	Cádiz	92	50	no	29
Tomates	Castellón	3	95	no	63
Tomates	Baleares	76	20	no	6
Tomates	Alicante	14	40	si	22
Tomates	Guadalajara	30	86	si	42
Tomates	Ceuta	94	87	si	35
Tomates	Toledo	22	81	no	10
Tomates	La Rioja	6	31	si	24
Tomates	La Coruña	82	51	si	36
Tomates	Soria	91	3	no	48
Tomates	Alicante	56	14	no	40
Tomates	Córdoba	66	9	no	38
Tomates	Huesca	91	11	si	12
Tomates	Albacete	45	39	no	79
Tomates	Albacete	35	6	no	33
Tomates	Badajoz	95	76	si	83
Tomates	Tarragona	56	50	si	3
Tomates	Madrid	21	58	si	46
Tomates	La Rioja	25	39	si	92
Tomates	Huesca	44	95	no	84
Tomates	Málaga	4	21	no	77
Tomates	Granada	99	23	no	49
Tomates	Cuenca	31	2	si	52
Tomates	Cantabria	45	61	no	20
Tomates	Murcia	97	31	no	13
Tomates	Salamanca	49	24	si	18
Tomates	Alicante	70	30	si	58
Tomates	Alicante	90	96	no	49
Tomates	Santa Cruz de Tenerife	96	67	si	84
Tomates	Cantabria	45	94	si	64
Tomates	Huesca	7	72	si	1
Tomates	Málaga	69	67	si	15
Tomates	Guadalajara	3	8	no	84
Tomates	Ciudad	88	47	no	1
Tomates	León	45	98	si	96
Tomates	León	58	46	no	20
Tomates	Valencia	86	84	no	68
Tomates	Cádiz	89	59	no	68
Tomates	Álava	7	55	si	100
Tomates	Madrid	89	29	no	57
Tomates	Cáceres	45	94	no	45
Tomates	Lugo	60	72	si	2
Tomates	Navarra	80	72	no	52
Tomates	Zamora	12	25	no	25
Tomates	Asturias	47	87	no	48
Tomates	Zamora	18	80	no	18
Tomates	Palencia	40	25	no	20
Tomates	Zamora	38	84	si	7
Tomates	Ceuta	81	51	si	74
Tomates	Palencia	73	15	si	88
Tomates	Melilla	3	98	si	98
Tomates	Vizcaya	72	26	no	17
Tomates	Castellón	61	72	no	74
Tomates	Asturias	19	71	no	86
Tomates	Ceuta	94	76	no	63
Tomates	Las Palmas	44	36	si	55
Tomates	Cantabria	13	65	no	22
Tomates	Valencia	5	55	si	8
Tomates	Ourense	16	44	no	31
Tomates	Álava	84	28	si	41
Tomates	Granada	38	23	si	21
Tomates	Palencia	91	69	no	18
Tomates	Badajoz	50	76	no	93
Tomates	Burgos	82	89	si	46
Tomates	Navarra	40	83	no	21
Tomates	Huesca	57	32	si	12
Tomates	Ceuta	22	80	no	52
Tomates	Lleida	13	83	si	22
Tomates	Guadalajara	11	40	no	60
Tomates	Lugo	30	7	no	20
Tomates	Sevilla	14	96	si	30
Tomates	Málaga	44	85	si	18
Tomates	Almería	35	37	no	52
Tomates	Navarra	27	14	no	64
Tomates	Cantabria	33	55	si	7
Tomates	Madrid	89	6	no	24
Tomates	La Rioja	4	2	si	76
Tomates	Ávila	43	99	no	40
Tomates	Cuenca	41	69	no	43
Tomates	Zaragoza	57	46	no	61
Tomates	Lugo	60	91	si	91
Tomates	Tarragona	78	11	no	62
Tomates	Guadalajara	51	44	si	6
Tomates	Almería	33	17	si	100
Tomates	Guipúzcoa	97	45	si	11
Tomates	Granada	66	89	si	48
Tomates	Jaén	88	78	si	50
Tomates	León	85	71	si	19
Tomates	Barcelona	16	31	si	40
Tomates	Ourense	96	12	si	61
Tomates	Sevilla	16	76	si	5
Tomates	Huesca	7	9	no	82
Tomates	Castellón	72	65	no	82
Tomates	Guadalajara	54	13	no	51
Tomates	Guadalajara	100	42	no	70
Tomates	Cádiz	75	37	no	2
Tomates	Tarragona	40	42	si	44
Tomates	Cádiz	8	3	si	53
Tomates	Almería	58	3	no	7
Tomates	La Rioja	93	31	si	67
Tomates	Las Palmas	41	60	no	23
Tomates	Almería	67	68	si	25
Tomates	Cádiz	84	85	si	26
Tomates	Guipúzcoa	44	54	no	91
Tomates	Barcelona	53	89	si	18
Tomates	Teruel	93	20	si	32
Tomates	Tarragona	75	87	no	84
Tomates	Vizcaya	6	19	no	12
Tomates	Navarra	84	13	no	94
Tomates	Huelva	91	35	si	66
Tomates	Teruel	79	86	no	68
Tomates	Toledo	65	93	si	5
Tomates	Lleida	58	75	si	46
Tomates	La Coruña	45	89	si	89
Tomates	Alicante	86	29	no	18
Tomates	Granada	73	32	si	66
Tomates	Murcia	53	26	si	84
Tomates	Las Palmas	55	45	no	40
Tomates	Pontevedra	12	12	no	67
Tomates	Huelva	9	67	no	80
Tomates	Valencia	82	90	no	52
Tomates	Ávila	46	24	si	6
Tomates	Huesca	7	40	si	1
Tomates	Valladolid	9	14	si	27
Tomates	Valencia	54	6	si	77
Tomates	Albacete	13	82	no	6
Tomates	Navarra	3	93	no	47
Tomates	Melilla	46	73	si	99
Tomates	Lleida	89	42	no	17
Tomates	Cantabria	12	81	si	83
Tomates	Asturias	92	32	no	44
Tomates	Córdoba	76	59	si	22
Tomates	Soria	66	82	si	90
Tomates	Cáceres	7	86	si	39
Tomates	Tarragona	10	97	si	33
Tomates	Salamanca	75	43	no	48
Tomates	Ourense	45	41	no	13
Tomates	Huesca	34	36	si	53
Tomates	Álava	54	47	si	79
Tomates	Almería	38	12	no	14
Tomates	Valladolid	23	92	si	13
Tomates	Palencia	99	36	no	8
Tomates	Vizcaya	28	30	no	11
Tomates	Ourense	75	88	si	26
Tomates	Ciudad	55	94	si	62
Tomates	Granada	55	43	si	2
Tomates	Girona	13	18	no	15
Tomates	Melilla	96	83	si	87
Tomates	Alicante	17	67	no	37
Tomates	Melilla	34	95	no	47
Tomates	Cuenca	10	75	si	84
Tomates	Asturias	64	36	no	42
Tomates	Ávila	83	56	si	89
Tomates	Ávila	95	53	si	29
Tomates	Tarragona	64	61	si	59
Tomates	Sevilla	97	53	no	53
Tomates	Pontevedra	19	80	no	79
Tomates	Cantabria	45	99	no	57
Tomates	Sevilla	21	27	si	10
Tomates	Cuenca	27	4	no	80
Tomates	La Rioja	24	62	si	13
Tomates	Asturias	29	34	si	39
Tomates	Castellón	11	25	si	81
Tomates	Guadalajara	72	60	si	32
Tomates	Zaragoza	66	77	no	79
Tomates	Lleida	64	44	no	58
Tomates	Lugo	27	98	no	27
Tomates	Salamanca	65	36	no	35
Tomates	Ceuta	61	24	si	91
Tomates	Pontevedra	90	75	si	41
Tomates	Ávila	41	80	si	14
Tomates	Baleares	45	87	no	45
Tomates	Zamora	24	65	no	31
Tomates	Barcelona	9	34	si	51
Tomates	Almería	40	1	no	65
Tomates	Granada	100	8	no	7
Tomates	Almería	65	59	si	17
Tomates	Barcelona	35	80	si	35
Tomates	Tarragona	94	32	si	88
Tomates	Valladolid	68	86	no	43
Tomates	Guipúzcoa	87	97	si	73
Tomates	Jaén	63	12	si	46
Tomates	Tarragona	79	88	si	67
Tomates	Burgos	27	30	no	37
Tomates	Girona	45	62	no	47
Tomates	Guadalajara	12	10	si	65
Tomates	Cáceres	26	44	no	69
Tomates	Valencia	14	60	si	76
Tomates	Las Palmas	36	14	no	94
Tomates	Palencia	56	13	si	1
Tomates	Burgos	27	37	no	46
Tomates	Las Palmas	22	62	no	41
Tomates	La Rioja	75	62	si	6
Tomates	Navarra	10	98	si	94
Tomates	Zamora	47	99	no	78
Tomates	Burgos	75	75	no	59
Tomates	Álava	16	65	si	35
Tomates	Ciudad	17	44	no	11
Tomates	Castellón	1	17	si	37
Tomates	Córdoba	34	29	si	3
Tomates	Tarragona	52	24	si	43
Tomates	Vizcaya	17	40	si	73
Tomates	Lleida	73	18	no	37
Tomates	Granada	33	69	no	81
Tomates	Navarra	15	71	si	17
Tomates	Asturias	52	65	si	34
Tomates	Cantabria	36	76	no	56
Tomates	Baleares	93	35	no	12
Tomates	Palencia	25	31	no	58
Tomates	Soria	46	77	si	29
Tomates	Valladolid	64	86	si	70
Tomates	Granada	95	84	si	60
Tomates	Teruel	50	51	si	92
Tomates	Guadalajara	38	25	no	14
Tomates	Guadalajara	45	51	no	44
Tomates	Sevilla	97	89	no	3
Tomates	Valencia	77	50	no	52
Tomates	Albacete	83	14	no	84
Tomates	Valencia	31	93	si	6
Tomates	Valladolid	45	87	no	1
Tomates	Álava	2	30	no	99
Tomates	Ourense	40	79	si	68
Tomates	Cuenca	34	55	no	89
Tomates	Lleida	90	65	si	80
Tomates	Málaga	9	60	no	70
Tomates	Cádiz	88	85	no	90
Tomates	Zamora	52	76	no	90
Tomates	Melilla	63	100	si	88
Tomates	Murcia	58	39	si	60
Tomates	Segovia	96	7	si	83
Tomates	Castellón	48	54	si	23
Tomates	Guipúzcoa	42	53	si	69
Tomates	Murcia	21	64	si	43
Tomates	Almería	30	55	si	6
Tomates	Cáceres	4	93	no	96
Tomates	Zaragoza	41	64	si	95
Tomates	Córdoba	4	3	no	33
Tomates	Valladolid	61	7	no	90
Tomates	Barcelona	15	94	si	62
Tomates	Madrid	51	74	no	87
Tomates	Huelva	9	86	no	34
Tomates	Madrid	41	97	no	22
Tomates	Zamora	63	18	no	97
Tomates	Sevilla	84	18	si	67
Tomates	Santa Cruz de Tenerife	36	1	no	6
Tomates	Castellón	39	67	no	37
Tomates	Murcia	52	75	no	55
Tomates	Valencia	85	13	no	96
Tomates	Cádiz	86	65	no	66
Tomates	Valencia	62	67	no	59
Tomates	Lleida	71	56	no	100
Tomates	Huelva	40	52	no	42
Tomates	Teruel	98	38	si	5
Tomates	Alicante	90	28	si	59
Tomates	Zaragoza	59	71	si	11
Tomates	Navarra	30	85	si	18
Tomates	Navarra	6	43	si	4
Tomates	Pontevedra	14	23	si	34
Tomates	Madrid	91	46	si	81
Tomates	Granada	100	90	si	14
Tomates	Granada	96	64	no	91
Tomates	Huelva	28	21	no	43
Tomates	Sevilla	87	88	si	37
Tomates	Soria	90	100	no	85
Tomates	Zamora	88	54	no	40
Tomates	Ávila	51	83	si	12
Tomates	Navarra	23	58	no	24
Tomates	La Rioja	54	45	no	80
Tomates	Salamanca	79	47	si	30
Tomates	Badajoz	17	81	si	39
Tomates	Pontevedra	49	100	si	83
Tomates	Jaén	59	80	no	86
Tomates	Pontevedra	56	99	no	20
Tomates	Ciudad	9	14	no	60
Tomates	Valladolid	100	7	no	73
Tomates	Albacete	84	10	no	55
Tomates	Barcelona	7	6	si	8
Tomates	Ciudad	31	94	no	3
Tomates	Asturias	69	89	no	39
Tomates	Navarra	51	76	si	59
Tomates	Córdoba	78	30	no	31
Tomates	Álava	33	94	si	59
Tomates	Segovia	93	90	si	5
Tomates	Vizcaya	32	41	no	33
Tomates	Girona	33	19	si	38
Tomates	Santa Cruz de Tenerife	37	85	no	53
Tomates	Vizcaya	54	28	no	25
Tomates	Palencia	9	67	si	48
Tomates	La Coruña	14	91	no	62
Tomates	Melilla	93	3	si	1
Tomates	Salamanca	86	85	no	6
Tomates	Ceuta	48	80	si	26
Tomates	Baleares	77	77	no	61
Tomates	Huesca	92	38	si	75
Tomates	Barcelona	90	31	si	99
Tomates	Lleida	11	79	si	43
Tomates	Cantabria	1	75	no	27
Tomates	Toledo	53	89	si	74
Tomates	León	3	33	si	57
Tomates	Tarragona	50	71	no	90
Tomates	Sevilla	50	33	no	45
Tomates	Huesca	48	62	no	67
Tomates	Ourense	45	47	no	15
Tomates	Burgos	20	18	si	59
Tomates	Ceuta	80	77	no	45
Tomates	Cantabria	30	17	no	1
Tomates	Valencia	5	74	si	34
Tomates	Álava	85	21	no	60
Tomates	Barcelona	96	52	no	71
Tomates	Ourense	69	53	no	5
Tomates	Cuenca	78	82	si	58
Tomates	Baleares	19	45	si	73
Tomates	Lleida	26	34	no	38
Tomates	Ceuta	72	10	si	96
Tomates	Huelva	97	53	si	75
Tomates	Ávila	23	66	si	82
Tomates	Burgos	55	12	si	74
Tomates	Madrid	54	100	si	22
Tomates	Huesca	26	45	no	64
Tomates	Melilla	8	40	si	33
Tomates	Teruel	24	2	si	77
Tomates	Ceuta	67	45	si	68
Tomates	Murcia	82	89	si	66
Tomates	Córdoba	38	70	si	44
Tomates	Jaén	25	96	si	32
Tomates	Barcelona	29	8	si	29
Tomates	Las Palmas	51	46	no	51
Tomates	Baleares	81	13	no	3
Tomates	Segovia	34	85	si	23
Tomates	La Rioja	86	12	si	66
Tomates	Cádiz	13	78	si	5
Tomates	Córdoba	70	85	si	33
Tomates	Segovia	5	65	si	81
Tomates	Valencia	96	65	si	44
Tomates	Cádiz	81	97	si	2
Tomates	Salamanca	27	53	si	63
Tomates	Pontevedra	23	20	no	89
Tomates	Palencia	1	98	si	61
Tomates	Lugo	89	87	si	96
Tomates	La Rioja	9	93	si	99
Tomates	Teruel	78	49	si	83
Tomates	Almería	22	40	si	36
Tomates	Girona	21	54	si	23
Tomates	Guadalajara	85	24	no	58
Tomates	Huelva	7	82	no	46
Tomates	Vizcaya	69	76	si	96
Tomates	Guipúzcoa	93	40	si	4
Tomates	Málaga	85	12	si	91
Tomates	Guadalajara	48	65	no	71
Tomates	Lugo	55	72	si	96
Tomates	La Coruña	70	69	no	72
Tomates	Zamora	89	72	si	67
Tomates	Lugo	62	69	no	32
Tomates	Baleares	68	42	si	78
Tomates	Álava	100	21	si	11
Tomates	La Coruña	12	31	si	82
Tomates	Jaén	65	38	no	62
Tomates	Cáceres	57	49	si	81
Tomates	Tarragona	39	24	si	76
Tomates	Málaga	58	70	si	59
Tomates	Castellón	88	68	no	61
Tomates	Asturias	18	8	no	59
Tomates	Salamanca	74	21	si	59
Tomates	Badajoz	21	75	no	95
Tomates	Ávila	50	24	si	88
Tomates	Cáceres	49	86	si	56
Tomates	Huesca	86	93	si	11
Tomates	León	86	8	no	71
Tomates	La Rioja	59	13	si	81
Tomates	Albacete	41	25	si	2
Tomates	León	76	79	no	28
Tomates	León	20	40	si	14
Tomates	Girona	84	80	si	76
Tomates	Soria	1	89	si	40
Tomates	Huesca	96	29	no	91
Tomates	Ourense	58	79	si	23
Tomates	Zamora	86	53	no	2
Tomates	Valladolid	64	8	si	27
Tomates	Ourense	84	29	no	54
Tomates	Ourense	40	70	no	63
Tomates	Álava	95	65	no	88
Tomates	Murcia	95	45	si	58
Tomates	Madrid	50	16	si	1
Tomates	Guadalajara	100	56	si	16
Tomates	Granada	45	52	si	55
Tomates	Ourense	17	51	no	100
Tomates	Girona	65	54	si	55
Tomates	Soria	53	38	no	70
Tomates	Murcia	96	83	si	68
Tomates	Álava	35	9	no	31
Tomates	Burgos	95	40	no	91
Tomates	Madrid	68	14	si	62
Tomates	Burgos	16	1	si	79
Tomates	Baleares	8	19	no	1
Tomates	Valencia	69	40	si	66
Tomates	Alicante	77	5	no	65
Tomates	La Rioja	97	92	si	85
Tomates	Soria	83	4	si	68
Tomates	La Rioja	40	88	si	4
Tomates	Murcia	47	75	si	69
Tomates	Cáceres	57	41	no	15
Tomates	Pontevedra	14	19	no	57
Tomates	Guadalajara	26	26	si	5
Tomates	Salamanca	58	54	si	67
Tomates	Tarragona	43	84	no	69
Tomates	Cantabria	71	97	no	7
Tomates	Albacete	66	57	si	10
Tomates	Badajoz	89	16	si	11
Tomates	Badajoz	56	49	no	62
Tomates	Toledo	44	18	no	36
Tomates	Santa Cruz de Tenerife	85	47	si	85
Tomates	Lleida	74	51	si	54
Tomates	Melilla	86	5	si	91
Tomates	Baleares	16	8	no	91
Tomates	Melilla	57	58	no	9
Tomates	Alicante	12	58	si	69
Tomates	Toledo	79	88	no	15
Tomates	Badajoz	68	58	si	28
Tomates	Cuenca	68	11	si	30
Tomates	Guadalajara	34	9	si	7
Tomates	Castellón	100	98	si	23
Tomates	Almería	70	60	si	84
Tomates	Almería	28	85	no	35
Tomates	Granada	31	23	si	17
Tomates	Córdoba	35	82	si	52
Tomates	Tarragona	47	58	no	41
Tomates	Las Palmas	60	50	no	62
Tomates	Asturias	87	6	no	48
Tomates	Burgos	41	79	no	20
Tomates	Almería	87	52	no	71
Tomates	Salamanca	59	100	si	17
Tomates	Badajoz	91	90	no	98
Tomates	Valencia	17	34	no	79
Tomates	Navarra	24	71	si	90
Tomates	La Rioja	96	23	no	11
Tomates	Melilla	94	96	si	59
Tomates	Tarragona	16	80	si	84
Tomates	Valencia	25	18	si	67
Tomates	Cáceres	86	73	si	9
Tomates	Cantabria	59	23	si	33
Tomates	Madrid	47	41	no	7
Tomates	Murcia	57	63	si	27
Tomates	Almería	4	20	si	50
Tomates	Cuenca	67	34	si	41
Tomates	Palencia	47	14	no	47
Tomates	Málaga	17	41	no	32
Tomates	Granada	72	29	si	89
Tomates	Pontevedra	88	54	no	83
Tomates	Cádiz	6	41	si	63
Tomates	Toledo	19	29	no	100
Tomates	Ourense	7	5	si	33
Tomates	Valladolid	100	7	si	86
Tomates	La Rioja	70	33	si	99
Tomates	Huesca	8	21	no	65
Tomates	Huelva	100	72	no	22
Tomates	Cáceres	98	42	no	56
Tomates	Huesca	78	5	si	2
Tomates	Ciudad	51	35	no	40
Tomates	Ciudad	87	19	no	58
Tomates	Huesca	11	32	no	50
Tomates	Álava	39	70	no	98
Tomates	La Rioja	98	59	no	46
Tomates	La Rioja	69	14	no	80
Tomates	Murcia	24	15	no	12
Tomates	Las Palmas	28	55	no	25
Tomates	La Rioja	38	52	no	48
Tomates	Zamora	88	12	no	55
Tomates	Murcia	83	4	no	30
Tomates	Málaga	89	67	si	15
Tomates	Sevilla	23	38	no	11
Tomates	Ourense	25	45	no	41
Tomates	Cáceres	55	21	si	65
Tomates	Sevilla	67	20	si	37
Tomates	Granada	97	43	si	68
Tomates	Badajoz	97	40	no	16
Tomates	Córdoba	54	41	si	59
Tomates	Madrid	7	32	si	43
Tomates	Cuenca	42	13	si	44
Tomates	Castellón	10	69	si	88
Tomates	Vizcaya	29	36	si	82
Tomates	Soria	96	51	no	9
Tomates	Pontevedra	21	45	no	34
Tomates	Alicante	57	31	no	32
Tomates	Vizcaya	62	35	si	74
Tomates	Toledo	36	89	no	97
Tomates	Navarra	24	75	si	77
Tomates	Salamanca	28	8	si	17
Tomates	Barcelona	33	78	no	1
Tomates	Baleares	39	48	no	2
Tomates	Córdoba	64	86	no	21
Tomates	Toledo	77	97	si	48
Tomates	Cádiz	57	80	no	70
Tomates	Madrid	91	14	si	20
Tomates	Lleida	26	19	si	2
Tomates	Huelva	9	4	no	55
Tomates	Granada	80	35	no	40
Tomates	Melilla	62	37	no	39
Tomates	Albacete	83	92	si	97
Tomates	León	3	6	si	59
Tomates	Barcelona	96	55	no	54
Tomates	Valencia	97	80	si	9
Tomates	Segovia	84	18	no	42
Tomates	Melilla	84	35	si	36
Tomates	Cantabria	53	38	no	52
Tomates	Las Palmas	17	66	no	100
Tomates	Badajoz	87	2	no	46
Tomates	Jaén	76	69	no	12
Tomates	Castellón	80	99	si	37
Tomates	Las Palmas	54	17	no	75
Tomates	Melilla	97	63	si	74
Tomates	Almería	48	84	si	59
Tomates	Toledo	89	10	no	93
Tomates	Ciudad	44	99	no	84
Tomates	Toledo	99	85	si	52
Tomates	Salamanca	52	73	no	5
Tomates	Álava	75	50	si	27
Tomates	Baleares	73	94	si	47
Tomates	Tarragona	87	94	no	3
Tomates	Girona	36	62	no	69
Tomates	Huesca	87	81	si	38
Tomates	Cádiz	80	17	no	33
Tomates	Zamora	40	43	no	65
Tomates	Alicante	31	15	si	3
Tomates	Teruel	31	40	no	4
Tomates	Granada	80	73	si	67
Tomates	Zamora	34	18	no	19
