tipo_cultivo,ubicacion_geografica,tamano_finca,rendimiento_cultivo,uso_fertilizantes,precio_venta (€/kg)
Tomates,"Pasadizo de Palmira Alvarez 7 Piso 9 
Álava, 48333",82,494,Sí,4
Tomates,"Rambla de Fátima Vall 15 Puerta 6 
Barcelona, 07800",8,642,No,6
Tomates,"Cañada de Amado Palmer 30
Tarragona, 35020",34,104,No,5
Tomates,"Glorieta Úrsula Costa 3
Huesca, 03128",14,280,No,5
Tomates,"Avenida Artemio Vergara 44 Puerta 7 
Palencia, 37388",60,180,Sí,4
Tomates,"Alameda de Manu Bautista 52
Lugo, 17794",33,226,Sí,2
Tomates,"Rambla de Sandalio Marín 17 Apt. 23 
Girona, 24749",65,472,No,2
Tomates,"Pasadizo Román Corominas 868 Apt. 11 
Albacete, 12063",81,435,No,4
Tomates,"Avenida de Apolonia Figueras 9 Puerta 9 
Cádiz, 29593",12,402,Sí,4
Tomates,"Acceso de Feliciana Montoya 3
Ourense, 36694",87,123,No,5
Tomates,"Camino Adalberto Manzanares 45
Ourense, 12298",30,878,No,8
Tomates,"Acceso Gervasio Tirado 7
Cáceres, 50571",51,758,Sí,8
Tomates,"Glorieta Ramiro Iriarte 61 Apt. 52 
Murcia, 18108",30,646,No,6
Tomates,"C. de Berta Nuñez 60 Piso 0 
Toledo, 04083",86,314,Sí,7
Tomates,"Pasadizo Eliseo Merino 952 Piso 4 
Ávila, 47666",29,893,No,5
Tomates,"Avenida de Vinicio Reina 75 Puerta 1 
Baleares, 22776",31,972,No,6
Tomates,"Callejón Fabricio Zamora 6 Puerta 1 
Tarragona, 04781",87,259,No,2
Tomates,"Plaza Lupe Valbuena 12
Almería, 02849",80,720,No,6
Tomates,"Glorieta Nicolás Cañellas 83
Lugo, 16631",89,904,Sí,6
Tomates,"Urbanización de Consuelo Aramburu 95 Apt. 48 
Lleida, 42626",30,531,Sí,2
Tomates,"Pasadizo de Tamara Escudero 671 Piso 3 
Valencia, 22546",99,307,No,8
Tomates,"Calle de María Luisa Aguilera 26 Apt. 55 
Navarra, 16845",80,578,No,6
Tomates,"Acceso Imelda Villaverde 84
Santa Cruz de Tenerife, 03323",11,701,No,2
Tomates,"Cañada de Cosme Escrivá 52
Madrid, 09600",9,986,Sí,6
Tomates,"C. Encarnita Bayona 3 Puerta 5 
Ceuta, 40641",83,679,No,8
Tomates,"Pasaje Salud Girona 8
Valladolid, 06913",33,656,Sí,5
Tomates,"Via de Darío Hervia 4
Ceuta, 11886",3,327,No,1
Tomates,"Rambla de Felix Barreda 452 Puerta 5 
Castellón, 40463",18,143,Sí,8
Tomates,"C. de Hermenegildo Valls 28 Apt. 96 
Vizcaya, 31875",87,403,Sí,4
Tomates,"Glorieta de Ainara Sarabia 8
Palencia, 49439",23,507,No,6
Tomates,"Acceso Emigdio Novoa 25
Baleares, 39150",100,447,Sí,6
Tomates,"Camino de Aura Pons 19
Jaén, 34660",18,248,No,2
Tomates,"Calle Beatriz Quero 75
Santa Cruz de Tenerife, 24949",91,964,Sí,1
Tomates,"Ronda Ruy Rivero 363 Apt. 81 
Lleida, 09917",34,421,No,7
Tomates,"Via Nieves Reguera 56 Puerta 7 
Huelva, 35860",90,549,No,1
Tomates,"Callejón Ofelia Guillén 4 Apt. 09 
Melilla, 03394",20,877,Sí,4
Tomates,"Acceso Ruy Fabra 402 Apt. 41 
Melilla, 33023",89,846,No,8
Tomates,"Urbanización de Duilio Jódar 53 Apt. 29 
Zaragoza, 25816",22,724,No,3
Tomates,"Alameda Ana Cisneros 816
Huesca, 21723",50,948,Sí,3
Tomates,"Acceso de Soraya Verdejo 6 Puerta 0 
Málaga, 46457",94,296,Sí,1
Tomates,"Paseo de Reinaldo Pedrosa 6 Piso 5 
Huelva, 38638",74,196,Sí,8
Tomates,"Glorieta Ismael Marin 93
Melilla, 09041",28,765,Sí,7
Tomates,"Cañada Haydée Palomino 373 Piso 1 
Castellón, 42650",41,270,No,4
Tomates,"C. de Anacleto Santamaría 474
Guipúzcoa, 29670",29,906,Sí,7
Tomates,"Alameda de Águeda Ballester 75
Madrid, 12253",8,134,No,8
Tomates,"Urbanización Anastasio Arnal 68 Piso 8 
Sevilla, 12503",85,630,No,4
Tomates,"Cuesta de Octavio Lobo 26 Puerta 2 
Sevilla, 34948",33,492,No,5
Tomates,"Rambla Morena Baena 76
Huelva, 09478",61,510,Sí,3
Tomates,"Rambla de Francisca Alegre 72 Puerta 5 
Santa Cruz de Tenerife, 33229",13,233,Sí,7
Tomates,"Rambla Trini Castejón 17 Puerta 3 
Madrid, 21373",14,701,Sí,7
Tomates,"Camino de Micaela Cid 269
Ávila, 12844",92,851,Sí,4
Tomates,"Cañada Lourdes Agustí 90 Puerta 9 
Ávila, 15552",87,236,No,8
Tomates,"Ronda de Camila Asensio 71 Puerta 8 
Ciudad, 37300",75,958,No,4
Tomates,"Via Eloísa Suarez 1
Vizcaya, 42539",32,839,Sí,6
Tomates,"Acceso de Venceslás Cuenca 97 Piso 2 
Ourense, 37273",76,482,Sí,5
Tomates,"Pasadizo de Íñigo Pastor 66 Puerta 9 
León, 33480",67,857,No,2
Tomates,"Alameda Angelita Landa 53
Zaragoza, 01295",55,556,No,5
Tomates,"Cuesta Fabio Sans 961 Puerta 0 
Ourense, 23213",37,594,No,4
Tomates,"Cañada Eligio Núñez 74 Puerta 5 
La Rioja, 14809",6,992,Sí,7
Tomates,"Cuesta de Ximena Barceló 61 Piso 0 
Palencia, 19236",50,716,No,8
Tomates,"Calle de Ágata Baró 53 Apt. 23 
León, 20993",4,439,Sí,6
Tomates,"Camino Eva Miguel 868 Puerta 9 
Albacete, 08925",55,835,No,1
Tomates,"Pasaje Cloe Chico 15
Castellón, 08400",10,647,No,7
Tomates,"Cuesta Carolina Trillo 4 Puerta 7 
Huelva, 43687",39,860,No,2
Tomates,"Ronda de Daniel Barriga 85 Apt. 55 
Palencia, 18461",67,275,Sí,6
Tomates,"Urbanización Emelina Luz 73 Piso 4 
Lleida, 03599",94,964,Sí,6
Tomates,"Pasaje de Abel Múgica 4 Puerta 0 
Ávila, 31119",61,585,No,6
Tomates,"Rambla de Kike Pedraza 1
Zaragoza, 31920",86,548,No,3
Tomates,"Plaza de Adelardo Valls 29 Apt. 41 
Zamora, 13521",88,724,Sí,4
Tomates,"Cañada de Román Manuel 8
Málaga, 06915",88,934,Sí,3
Tomates,"Avenida de Ulises Soriano 45
Málaga, 43358",42,516,No,3
Tomates,"C. de Adora Granados 73
Melilla, 45469",80,889,Sí,8
Tomates,"Cañada de Reinaldo Baena 30 Apt. 24 
Málaga, 20786",89,677,Sí,6
Tomates,"Pasaje Reina Lozano 4 Piso 2 
Segovia, 44365",66,759,Sí,4
Tomates,"Alameda Cosme Piquer 7
Huesca, 31333",5,854,No,8
Tomates,"Vial Seve Bernad 789 Apt. 53 
Las Palmas, 38275",21,885,No,4
Tomates,"Callejón Javiera Llorens 77
Ourense, 17470",12,593,Sí,2
Tomates,"Vial de Chelo Mendoza 47
Madrid, 04423",84,590,No,7
Tomates,"Vial de Pili Vázquez 421
Navarra, 49948",81,428,Sí,7
Tomates,"Alameda de Miguel Gargallo 3 Puerta 8 
Álava, 37996",39,161,No,2
Tomates,"Via de Timoteo Palmer 44
Toledo, 21702",10,168,Sí,3
Tomates,"Alameda Baltasar Cases 953 Puerta 6 
Badajoz, 37362",86,300,Sí,8
Tomates,"Cuesta de José María Maldonado 79 Apt. 49 
Navarra, 37305",7,384,Sí,6
Tomates,"Acceso Galo Iborra 24
Melilla, 48581",62,501,No,7
Tomates,"Urbanización Isaura Carbó 1
Toledo, 17473",67,665,No,5
Tomates,"Rambla Cosme Batlle 14 Puerta 3 
Segovia, 09633",62,628,No,3
Tomates,"Via Edelmira Velázquez 35
Sevilla, 18964",64,353,No,8
Tomates,"Pasadizo Jose Luis Ugarte 1 Apt. 23 
Cuenca, 37759",23,889,No,8
Tomates,"Urbanización Mar Benet 77 Puerta 7 
Álava, 30604",93,943,No,7
Tomates,"Urbanización de Ariadna Manzano 33 Piso 7 
Soria, 44320",14,804,No,5
Tomates,"Glorieta de Segismundo Calderon 97 Piso 7 
Granada, 27537",62,980,Sí,1
Tomates,"Vial Reynaldo Higueras 34
Murcia, 24447",54,176,No,4
Tomates,"Cañada de Borja Quevedo 8 Puerta 0 
Tarragona, 25541",98,605,Sí,2
Tomates,"Acceso Cleto Leiva 95 Puerta 5 
Álava, 01538",12,197,Sí,4
Tomates,"C. Teodora Toro 37 Puerta 0 
Burgos, 23728",12,226,No,6
Tomates,"Cuesta de Victor Manuel Arjona 137
Huesca, 50562",40,241,No,8
Tomates,"Paseo de Amparo Barros 5
Alicante, 45075",55,587,Sí,5
Tomates,"Alameda de Modesta Roda 89 Piso 2 
Ceuta, 42387",39,452,Sí,2
Tomates,"Pasadizo de Caridad Santiago 51
Cáceres, 36249",95,829,Sí,3
Tomates,"Pasadizo de Rufina Cabezas 90
Huelva, 02978",87,862,No,7
Tomates,"Pasaje Carmina Navarrete 14
Girona, 02356",81,802,Sí,5
Tomates,"Cañada de Samanta Torralba 6
Málaga, 20542",78,206,Sí,5
Tomates,"Calle Francisca Ibarra 42
Lleida, 01412",24,802,No,3
Tomates,"Callejón Trini Bautista 85
Tarragona, 24214",81,336,Sí,2
Tomates,"C. de Custodia Figueroa 97 Apt. 62 
Salamanca, 14042",58,490,Sí,3
Tomates,"Avenida de Hilario Padilla 80
Tarragona, 04990",97,912,No,5
Tomates,"Paseo de René Poza 748
Badajoz, 28197",89,551,Sí,3
Tomates,"Avenida Sarita Sola 885
Córdoba, 38880",26,497,Sí,4
Tomates,"Cañada de Cristian Bejarano 9
Baleares, 33210",37,819,No,6
Tomates,"Paseo de Febe Hernandez 66 Apt. 49 
Valencia, 23684",9,990,No,7
